To,Location
clock,PIN_Y2
ps2_clk,PIN_G6
ps2_data,PIN_H5
reset_N,PIN_M23
seg0[0],PIN_G18
seg0[1],PIN_F22
seg0[2],PIN_E17
seg0[3],PIN_L26
seg0[4],PIN_L25
seg0[5],PIN_J22
seg0[6],PIN_H22
seg1[0],PIN_M24
seg1[1],PIN_Y22
seg1[2],PIN_W21
seg1[3],PIN_W22
seg1[4],PIN_W25
seg1[5],PIN_U23
seg1[6],PIN_U24
seg2[0],PIN_AA25
seg2[1],PIN_AA26
seg2[2],PIN_Y25
seg2[3],PIN_W26
seg2[4],PIN_Y26
seg2[5],PIN_W27
seg2[6],PIN_W28
seg3[0],PIN_V21
seg3[1],PIN_U21
seg3[2],PIN_AB20
seg3[3],PIN_AA21
seg3[4],PIN_AD24
seg3[5],PIN_AF23
seg3[6],PIN_Y19
seg4[0],PIN_AB19
seg4[1],PIN_AA19
seg4[2],PIN_AG21
seg4[3],PIN_AH21
seg4[4],PIN_AE19
seg4[5],PIN_AF19
seg4[6],PIN_AE18
seg5[0],PIN_AD18
seg5[1],PIN_AC18
seg5[2],PIN_AB18
seg5[3],PIN_AH19
seg5[4],PIN_AG19
seg5[5],PIN_AF18
seg5[6],PIN_AH18
seg6[0],PIN_AA17
seg6[1],PIN_AB16
seg6[2],PIN_AA16
seg6[3],PIN_AB17
seg6[4],PIN_AB15
seg6[5],PIN_AA15
seg6[6],PIN_AC17
seg7[0],PIN_AD17
seg7[1],PIN_AE17
seg7[2],PIN_AG17
seg7[3],PIN_AH17
seg7[4],PIN_AF17
seg7[5],PIN_AG18
seg7[6],PIN_AA14